artist_name,country
Astels,France
Justice Der,USA
cosmic collective,USA
Last Dinosaurs,Australia
Father Of Peace,Israel
marQ,USA
slchld,Canada
keshi,USA
Gallant,USA
Benson Boone,USA
Bruno Major,UK
Joji,USA
Tom Misch,UK
PREP,UK
eaJ,USA
Emotional Oranges,USA
Surfaces,USA
Mae Muller,UK
Phony PPL,USA
Mac Ayres,USA
Men I Trust,Canada
Mura Masa,UK
Rex Orange County,UK
Valley,Canada
d4vd,USA
Dominic Fike,USA
Paramore,USA
Kamal.,UK
Masego,UK
Samm Henshaw,USA
Mac DeMarco,Canada
Christian Kuria,USA
Peach Pit,Canada
Clairo,USA
King Princess,USA
Mina Okabe,Denmark
almost monday,USA
King Krule,UK
mild high club,USA
Berhana,USA
SG Lewis,UK
RINI,Australia
dhruv,USA
beabadoobee,Australia
Moonchild,UK
Matt Maltese,UK
Still Woozy,USA
Olivia Dean,UK
Parcels,Australia
Novo Amor,UK
KAYTRANADA,Canada
Boy Pablo,Norway
jens,Sweden
Summer Salt,USA
Greyson Chance,USA
Wallows,USA
HOMESHAKE,Canada
Q,USA
Joy Crookes,UK
Fly By Midnight,USA
Feng Suave,Netherlands
JMSN,USA
Jungle,UK
edbl,UK
Hippo Campus,USA
Omar Apollo,USA
Alt Bloom,USA
half•alive,USA
Bleachers,USA
Palace,UK
Duckwrth,USA
Dabeull,France
The Japanese House,UK
David Kushner,USA
The Marías,USA
Ginger Root,USA
Phoebe Bridgers,USA
Inhaler,Ireland
Japanese Breakfast,USA
LEISURE,New Zealand
The Walters,USA
Thomas Ng,USA
Forrest Nolan,USA
Arlo Parks,UK
Catfish and the Bottlemen,UK
will hyde,Australia
Blossoms,UK
Vansire,USA
Lyn Lapid,USA
Devin Kennedy,USA
Smallpools,USA
Hayley Williams,USA
L'Impératrice,France
Matthew Ifield,Australia
Bakar,UK
crumb,USA
Dijon,USA
Hadji Gaviota,USA
Andy Shauf,Canada
Charlie Burg,USA
Dayglow,USA
The Rare Occasions,USA
Hotel Ugly,USA
grentperez,Australia
Beach Weather,USA
Two Another,Australia
Djo,USA
Vacations,Australia
The Last Dinner Party,UK
Michael Seyer,USA
Lewis OfMan,France
bLAck pARty,USA
Surf Curse,USA
Clubhouse,USA
Ricky Montgomery,USA
Jordan Ward,USA
Wasia Project,UK
Mk.gee,USA
Fontaines D.C.,Ireland
Cafuné,USA
Black Country New Road,UK
Hojean,USA
Aaron Childs,USA
Kid Bloom,USA
The Backseat Lovers,USA
Josh Fudge,USA
shame,UK
Sloan Peterson,Australia
Squid,UK
Love Spells,USA
JORDANN,Canada
Only The Poets,UK
Blue Lab Beats,UK
Chanpan,USA
Porch Light,USA
Dry Cleaning,UK
Lime Cordiale,Australia
Just Mustard,Ireland
Ca7riel & Paco Amoroso,Argentina
Blaest,Denmark
Jazzbois,Hungary
OMA,UK
Florentenes,UK
Vanarin,Italy
INOHA,USA
Winyah,USA
Westside Cowboy,UK
Kid Kapichi,UK
egoism,Australia
Minitrees,USA
PRYVT,Canada
Tokyo Tea Room,UK
Sports,USA
Anotr,Netherlands
Easy Weeds,Taiwan
SoulFa,Taiwan
Sunset Rollercoaster,Taiwan
9m88,Taiwan
I Mean Us,Taiwan
The Chairs,Taiwan
No Party For Cao Dong,Taiwan
Wendy Wander,Taiwan
The Crane,Taiwan
The Dinosaur's Skin,Taiwan
Layton Wu,Taiwan
LINION,Taiwan
Elephant Gym,Taiwan
im difficult,Taiwan
Everydaze,Taiwan
Sweet John,Taiwan
Its Your Fault,Taiwan
Nosu,Taiwan
EggPlantEgg,Taiwan
Olin MattiBlue,Thailand
Andr,Taiwan
Vooid,Taiwan
Enfants,Japan
Anna Takeuchi,Japan
sucola,Japan
Kenshi Yonezu,Japan
RADWIMPS,Japan
OFFICIAL HIGE DANDISM,Japan
SPYAIR,Japan
Yorushika,Japan
Vaundy,Japan
Aimer,Japan
Fujii Kaze,Japan
King Gnu,Japan
Suda Masaki,Japan
Gen Hoshino,Japan
Ado,Japan
Ryokuoushoku Shakai,Japan
natori,Japan
Bump Of Chicken,Japan
Rokudenashi,Japan
Ikimonogakari,Japan
Novelbright,Japan
LET ME KNOW,Japan
DISH//,Japan
LUCK LIFE,Japan
Indigo la End,Japan
miwa,Japan
Asian Kung-Fu Generation,Japan
Hitsujibungaku,Japan
UVERworld,Japan
Sakanaction,Japan
Wanuka,Japan
SHISHAMO,Japan
KANA-BOON,Japan
Marcy,Japan
Omoinotake,Japan
ChoQMay,Japan
GLAY,Japan
Ayumu Imazu,Japan
Rina Sawayama,Japan
Awesome City Club,Japan
Aoi Eir,Japan
Daoko,Japan
Macaroni Empitsu,Japan
Gesunokiwami Otome,Japan
BURNOUT SYNDROMES,Japan
Creephyp,Japan
Akiyama Kiro,Japan
The GazettE,Japan
Mitsume,Japan
toe,Japan
WEDNESDAY CAMPANELLA,Japan
ego apartment,Japan
Tomonari Sora,Japan
Blue Encount,Japan
Centimillimental,Japan
Yogee New Waves,Japan
Never Young Beach,Japan
Blu-Swing,Japan
4na,Japan
WANIMA,Japan
Tempalay,Japan
SUPER BEAVER,Japan
MILLENNIUM PARADE,Japan
Natsuki Kawanishi,Japan
Sanghee,Japan
No Buses,Japan
Wacci,Japan
Tendre,Japan
androp,Japan
ame_no_parade,Japan
Chilli Beans.,Japan
CHAI,Japan
MONO NO AWARE,Japan
Sambomaster,Japan
Aoi Yamazaki,Japan
HOME,Japan
THREE1989,Japan
WONK,Japan
Magic Of Life,Japan
frederic,Japan
Kaneko Ayano,Japan
friends,Japan
neguse.,Japan
DURDN,Japan
FIVE NEW OLD,Japan
muque,Japan
luv,Japan
703goushitsu,Japan
13.3g,Japan
betcover!!,Japan
NANAOAKARI,Japan
Conton Candy,Japan
chelmico,Japan
Bialystocks,Japan
NEIGHBORS COMPLAIN,Japan
BREIMEN,Japan
Brandy Senki,Japan
evening cinema,Japan
Humbreaders,Japan
Tsuji Shion,Japan
Kaneyorimasaru,Japan
Analogfish,Japan
Otoboke Beaver,Japan
RIKON,Japan
Helsinki Lambda Club,Japan
YOHLU,Japan
my dead girlfriend,Japan
Kuroki Nagisa,Japan
GOOD ON THE REEL,Japan
Hakushi Hasegawa,Japan
NakamuraEmi,Japan
Sasagawa Miwa,Japan
Asilo,Japan
kinoue64,Japan
Sabasister,Japan
honeydip,Japan
Khaki,Japan
HALLEY,Japan
downt,Japan
kudaranai1nichi,Japan
SUSHIBOYS,Japan
Saho Terao,Japan
Blumepopo,Japan
MUNO NO MOSES,Japan
CheChe,Japan
xiexie,Japan
The Spellbound,Japan
Summer Eye,Japan
Geloomy,Japan
KALMA,Japan
OisicleMelonpan,Japan
I DON'T LIKE MONDAYS,Japan
D.A.N,Japan
The FIn.,Japan
DYGL,Japan
